Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x5.4_Nichicon",-79.850000,-45.200000,90.000000,bottom
"C2","100uF","CP_Elec_6.3x5.4_Nichicon",-101.375000,-45.150000,-90.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-73.825000,-49.925000,180.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-122.050000,-56.450000,90.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-128.800000,-63.650000,0.000000,bottom
"C6","22uF","CP_EIA-3216-18_Kemet-A",-69.475000,-49.975000,0.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-61.350000,-44.425000,-90.000000,bottom
"C8","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-58.450000,-41.375000,0.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-77.425000,-60.550000,-90.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-75.375000,-60.550000,-90.000000,bottom
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-70.125000,-54.725000,90.000000,bottom
"C12","100pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-121.300000,-53.500000,180.000000,bottom
"C13","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-122.200000,-50.500000,90.000000,bottom
"C14","22uF","CP_EIA-3216-18_Kemet-A",-68.050000,-61.050000,-90.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-58.500000,-44.475000,90.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-58.375000,-53.900000,90.000000,bottom
"C17","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-131.875000,-52.487500,90.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-124.500000,-48.200000,90.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-131.900000,-56.350000,90.000000,bottom
"C20","100pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-127.475000,-49.075000,180.000000,bottom
"C21","4.7uF","C_1206_3216Metric",-134.550000,-43.150000,180.000000,bottom
"C22","680pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-54.600000,-81.850000,-90.000000,bottom
"C23","680pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-54.500000,-62.550000,-90.000000,bottom
"C24","680pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-54.550000,-103.750000,-90.000000,bottom
"C25","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-51.450000,-84.250000,0.000000,bottom
"C26","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-51.550000,-64.400000,0.000000,bottom
"C27","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-51.450000,-106.150000,0.000000,bottom
"C28","680pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-54.550000,-126.200000,-90.000000,bottom
"C29","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-42.175000,-55.425000,180.000000,bottom
"C30","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-51.450000,-128.000000,0.000000,bottom
"C31","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-43.725000,-78.625000,180.000000,bottom
"C32","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-56.250000,-66.050000,180.000000,bottom
"C33","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-43.725000,-100.550000,180.000000,bottom
